time,distance,uavangle,height
1461464200.1362977,0,0,56
1461464200.1911006,0,0,56
1461464200.2457588,0,0,57
1461464200.3003695,0,0,57
1461464200.3549488,0,0,56
1461464200.409552,0,0,57
1461464200.4642406,0,0,57
1461464200.5193918,0,0,57
1461464200.5745897,0,0,56
1461464200.6295953,0,0,56
1461464200.6846778,0,0,56
1461464200.739852,0,0,56
1461464200.7948742,0,0,56
1461464200.8498394,0,0,56
1461464200.9048789,0,0,56
1461464200.9600163,0,0,58
1461464201.015182,0,0,56
1461464201.070592,0,0,57
1461464201.1256726,0,0,56
1461464201.1807318,0,0,56
1461464201.2357948,0,0,56
1461464201.2907712,0,0,56
1461464201.3463936,0,0,56
1461464201.4015887,0,0,59
1461464201.456706,0,0,57
1461464201.5117192,0,0,57
1461464201.5667171,0,0,57
1461464201.6217158,0,0,57
1461464201.6767004,0,0,56
1461464201.7317815,0,0,56
1461464201.7868242,0,0,56
1461464201.8418415,0,0,57
1461464201.8968906,0,0,57
1461464201.9519715,0,0,57
1461464202.0069926,0,0,57
1461464202.0620923,0,0,57
1461464202.1171303,0,0,57
1461464202.172288,0,0,57
1461464202.2274377,0,0,57
1461464202.2823994,0,0,57
1461464202.3375208,0,0,56
1461464202.3925357,0,0,56
1461464202.4477227,0,0,57
1461464202.5028949,0,0,57
1461464202.5580502,0,0,56
1461464202.6132355,0,0,56
1461464202.668388,0,0,57
1461464202.7235208,0,0,56
1461464202.7786238,0,0,56
1461464202.8336806,0,0,56
1461464202.8887947,0,0,56
1461464202.94385,0,0,56
1461464202.9988692,0,0,56
1461464203.0539193,0,0,56
1461464203.1089852,0,0,56
1461464203.1640096,0,0,56
1461464203.219017,0,0,56
1461464203.274093,0,0,56
1461464203.3292277,0,0,56
1461464203.3843334,0,0,56
1461464203.4394708,0,0,56
1461464203.4960167,0,0,56
1461464203.551902,0,0,57
1461464203.607871,0,0,56
1461464203.6637483,0,0,56
1461464203.7196844,0,0,56
1461464203.7754161,0,0,56
1461464203.8312821,0,0,56
1461464203.8869479,0,0,56
1461464203.94281,0,0,56
1461464203.998454,0,0,56
1461464204.0542045,0,0,56
1461464204.1099446,0,0,56
1461464204.1655908,0,0,56
1461464204.22122,0,0,56
1461464204.2768526,0,0,56
1461464204.332609,0,0,56
1461464204.3882604,0,0,57
1461464204.4439704,0,0,56
1461464204.4996333,0,0,56
1461464204.5552745,0,0,56
1461464204.6108906,0,0,56
1461464204.6665347,0,0,56
1461464204.7222862,0,0,56
1461464204.7781692,0,0,56
1461464204.8339348,0,0,56
1461464204.8895736,0,0,56
1461464204.9453232,0,0,56
1461464205.001161,0,0,56
1461464205.0570753,0,0,56
1461464205.1128128,0,0,56
1461464205.1683736,0,0,56
1461464205.223965,0,0,56
1461464205.2796438,0,0,57
1461464205.3352735,0,0,56
1461464205.3908887,0,0,56
1461464205.4464893,0,0,56
1461464205.5021195,0,0,56
1461464205.5576952,0,0,56
1461464205.6134083,0,0,57
1461464205.6690052,0,0,57
1461464205.7245445,0,0,56
1461464205.7802765,0,0,56
1461464205.835934,0,0,56
1461464205.8916516,0,0,55
1461464205.947672,0,0,56
1461464206.0034459,0,0,56
1461464206.059089,0,0,56
1461464206.1148255,0,0,56
1461464206.1704876,0,0,57
1461464206.2262096,0,0,56
1461464206.2818706,0,0,56
1461464206.3376637,0,0,56
1461464206.3934073,0,0,56
1461464206.4492385,0,0,56
1461464206.5050588,0,0,56
