time,distance,uavangle,height
1461464131.8574488,0,0,56
1461464131.9121528,0,0,57
1461464131.9666908,0,0,56
1461464132.021156,0,0,56
1461464132.075617,0,0,56
1461464132.1300857,0,0,56
1461464132.1845357,0,0,56
1461464132.2389784,0,0,56
1461464132.2934313,0,0,56
1461464132.3478875,0,0,56
1461464132.4023511,0,0,56
1461464132.456816,0,0,56
1461464132.511289,0,0,56
1461464132.5659864,0,0,57
1461464132.6208014,0,0,56
1461464132.6756067,0,0,56
1461464132.7304258,0,0,56
1461464132.7852871,0,0,57
1461464132.8401043,0,0,56
1461464132.8949096,0,0,56
1461464132.9497516,0,0,56
1461464133.004579,0,0,56
1461464133.059395,0,0,56
1461464133.114216,0,0,57
1461464133.1689994,0,0,56
1461464133.2237647,0,0,56
1461464133.278506,0,0,56
1461464133.3332467,0,0,56
1461464133.3879912,0,0,56
1461464133.4427378,0,0,56
1461464133.4976041,0,0,56
1461464133.5523653,0,0,56
1461464133.607105,0,0,56
1461464133.661913,0,0,56
1461464133.7167552,0,0,56
1461464133.771655,0,0,56
1461464133.826497,0,0,56
1461464133.8813214,0,0,56
1461464133.9361408,0,0,56
1461464133.99095,0,0,56
1461464134.0457203,0,0,56
1461464134.1005487,0,0,56
1461464134.1553245,0,0,56
1461464134.210081,0,0,56
1461464134.2648532,0,0,56
1461464134.319683,0,0,56
1461464134.3745224,0,0,56
1461464134.4293418,0,0,56
1461464134.484249,0,0,56
1461464134.5392337,0,0,56
1461464134.5941176,0,0,56
1461464134.6489813,0,0,56
1461464134.7038217,0,0,56
1461464134.758645,0,0,56
1461464134.8134637,0,0,56
1461464134.8683426,0,0,56
1461464134.9232292,0,0,56
1461464134.9780912,0,0,56
1461464135.0329263,0,0,56
1461464135.0877838,0,0,56
1461464135.142586,0,0,56
1461464135.1974165,0,0,56
1461464135.2522066,0,0,56
1461464135.306978,0,0,56
1461464135.3617277,0,0,56
1461464135.4164767,0,0,56
1461464135.4713712,0,0,56
1461464135.526365,0,0,57
1461464135.5812643,0,0,56
1461464135.6361582,0,0,56
1461464135.6910043,0,0,56
1461464135.7458293,0,0,56
1461464135.8006535,0,0,56
1461464135.8554466,0,0,56
1461464135.9102461,0,0,56
1461464135.9650254,0,0,56
1461464136.0197814,0,0,56
1461464136.074576,0,0,56
1461464136.1301749,0,0,56
1461464136.1855123,0,0,57
1461464136.2407634,0,0,56
1461464136.2960148,0,0,56
1461464136.3512764,0,0,56
1461464136.4065065,0,0,56
1461464136.4617538,0,0,56
1461464136.5168912,0,0,56
1461464136.5721042,0,0,56
1461464136.6272976,0,0,56
1461464136.682414,0,0,56
1461464136.7375822,0,0,56
1461464136.7927294,0,0,56
1461464136.8479748,0,0,55
1461464136.9032123,0,0,56
1461464136.958561,0,0,57
1461464137.0139964,0,0,56
1461464137.0693176,0,0,57
1461464137.1245914,0,0,56
1461464137.1799576,0,0,56
1461464137.2352095,0,0,56
1461464137.2904766,0,0,56
1461464137.345762,0,0,56
1461464137.4010022,0,0,56
1461464137.4562588,0,0,56
1461464137.5115542,0,0,56
1461464137.5668874,0,0,56
1461464137.6222284,0,0,56
1461464137.677537,0,0,56
1461464137.7327778,0,0,56
1461464137.7880445,0,0,56
1461464137.8434289,0,0,56
1461464137.8988044,0,0,56
1461464137.9541895,0,0,56
1461464138.009509,0,0,56
1461464138.064758,0,0,56
1461464138.1200016,0,0,56
1461464138.1752436,0,0,56
1461464138.230491,0,0,57
1461464138.2857263,0,0,56
1461464138.340984,0,0,56
